product_id,product_size,product_title,product_upc,productlink_id,productlink_buyprice,productlink_presale,productlink_price
3117,10 oz can,Store Brand Mixed Nuts - Deluxe,,9237,4.99,7.49,6.34
5887,14.5 OZ CAN,Store Brand Mixed Vegetables,,11972,1,7.49,1.29
3360,8 oz,Store Brand Monterey Jack Fancy Shredded Cheese ,,9479,2.42,7.49,2.9
3361,8 oz,Store Brand Mozzarella Fancy Shredded ,,9480,2.42,7.49,2.9
5888,4 oz can,Store Brand Mushrooms - Pieces & Stems,,11973,1,7.49,1.29
5146,32 oz,Store Brand Naturals Glass Cleaner With Vinegar ,,11254,2.89,7.49,3.53
5206,25 oz,Store Brand Naturals Natural Dish Detergent; Ultra Concentrated; Eucalyptus Lemon ,,11315,2.59,7.49,3.24
5207,25 oz,Store Brand Naturals Natural Dish Detergent; Ultra Concentrated; Free & Sensitive ,,11316,2.59,7.49,3.24
5259,40 lds,Store Brand Naturals Ultra Free Fabric Softener ,,11368,3.99,7.49,4.83
5260,40 lds,Store Brand Naturals Ultra Lavender Fabric Softener ,,11369,3.99,7.49,4.83
4368,5 qt,Store Brand Neapolitan Ice Cream ,,10465,5.99,7.49,7.19
4807,24 ea,Store Brand Neon Plastic Cups 16 oz 24 ct ,,10911,2.59,7.49,3.08
5889,14.5 OZ CAN,Store Brand New Potatoes - Diced,,11974,1,7.49,1.29
5890,14.5 OZ CAN,Store Brand New Potatoes - Whole,,11975,1,7.49,1.29
3234,11 oz,Store Brand No Ifs And Or Butter ,,9353,1.84,7.49,2.23
1152,12 oz,Store Brand Normal Skin Body Wash ,,7226,4.99,7.49,6.24
1153,12 oz,Store Brand Ocean Breeze Body Wash ,,7227,1.69,7.49,2.11
3558,12 ct,Store Brand Omega- 3 Eggs12 Large Eggs ,,9677,2.79,7.49,3.4
4457,12 ea,Store Brand Orange Cream Bars ,,10554,2.99,7.49,3.59
4458,9 ea,Store Brand Orange Gliders ,,10555,2.99,7.49,3.59
4369,32 oz,Store Brand Orange Sherbet ,,10466,1.69,7.49,2.03
461,2 LTR BTL,Store Brand Orange Soda,,6535,0.78,7.49,1.29
507,12 oz can,Store Brand Orange Soda,,6581,2.58,7.49,3.19
4370,5 qt,Store Brand Orange Twist Ice Cream ,,10467,5.99,7.49,7.19
3612,128 oz,Store Brand Organic 2% Reduced Fat Milk ,,9731,5.69,7.49,6.71
